Timestamp: 24.0742s. Il peer: 1.1.7.217 Unchoked: 1.1.8.41. Upload: 130.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.0742s. Il peer: 1.1.7.217 Unchoked: 1.1.8.61. Upload: 130.8bps, Download: 129.6bps; optimistically unchoked: 0
Timestamp: 24.0758s. Il peer: 1.1.6.17 Unchoked: 1.1.6.169. Upload: 109.2bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.0961s. Il peer: 1.1.5.177 Unchoked: 1.1.6.201. Upload: 216.4bps, Download: 132.8bps; optimistically unchoked: 0
Timestamp: 24.0961s. Il peer: 1.1.5.177 Unchoked: 1.1.7.33. Upload: 138bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.0961s. Il peer: 1.1.5.177 Unchoked: 1.1.7.249. Upload: 138bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.0961s. Il peer: 1.1.5.177 Unchoked: 1.1.7.213. Upload: 414.4bps, Download: 183785bps; optimistically unchoked: 0
Timestamp: 24.1372s. Il peer: 1.1.5.225 Unchoked: 1.1.6.233. Upload: 112.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.2332s. Il peer: 1.1.7.209 Unchoked: 1.1.7.13. Upload: 134.4bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.2332s. Il peer: 1.1.7.209 Unchoked: 1.1.8.41. Upload: 134.4bps, Download: 111.6bps; optimistically unchoked: 0
Timestamp: 24.2332s. Il peer: 1.1.7.209 Unchoked: 1.1.5.217. Upload: 134.4bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.2752s. Il peer: 1.1.8.13 Unchoked: 1.1.6.157. Upload: 134.4bps, Download: 132.8bps; optimistically unchoked: 0
Timestamp: 24.3101s. Il peer: 1.1.7.209 Unchoked: 1.1.7.217. Upload: 251.2bps, Download: 26370bps; optimistically unchoked: 0
Timestamp: 24.3329s. Il peer: 1.1.7.245 Unchoked: 1.1.7.213. Upload: 145.2bps, Download: 148bps; optimistically unchoked: 0
Timestamp: 24.3329s. Il peer: 1.1.7.245 Unchoked: 1.1.7.217. Upload: 145.2bps, Download: 136.8bps; optimistically unchoked: 0
Timestamp: 24.3329s. Il peer: 1.1.7.245 Unchoked: 1.1.6.21. Upload: 145.2bps, Download: 148.4bps; optimistically unchoked: 0
Timestamp: 24.349s. Il peer: 1.1.7.61 Unchoked: 1.1.7.29. Upload: 138bps, Download: 140.4bps; optimistically unchoked: 0
Timestamp: 24.349s. Il peer: 1.1.7.61 Unchoked: 1.1.6.125. Upload: 138bps, Download: 114.8bps; optimistically unchoked: 1
Timestamp: 24.4571s. Il peer: 1.1.6.209 Unchoked: 1.1.7.29. Upload: 138bps, Download: 140.4bps; optimistically unchoked: 0
Timestamp: 24.4704s. Il peer: 1.1.6.25 Unchoked: 1.1.7.217. Upload: 148.8bps, Download: 144bps; optimistically unchoked: 0
Timestamp: 24.4704s. Il peer: 1.1.6.25 Unchoked: 1.1.6.149. Upload: 148.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.4704s. Il peer: 1.1.6.25 Unchoked: 1.1.6.169. Upload: 148.8bps, Download: 107.6bps; optimistically unchoked: 0
Timestamp: 24.4958s. Il peer: 1.1.8.13 Unchoked: 1.1.6.201. Upload: 149.6bps, Download: 136.4bps; optimistically unchoked: 0
Timestamp: 24.5837s. Il peer: 1.1.6.201 Unchoked: 1.1.5.225. Upload: 138bps, Download: 136.8bps; optimistically unchoked: 0
Timestamp: 24.5837s. Il peer: 1.1.6.201 Unchoked: 1.1.7.97. Upload: 138bps, Download: 132.8bps; optimistically unchoked: 0
Timestamp: 24.5837s. Il peer: 1.1.6.201 Unchoked: 1.1.7.5. Upload: 138bps, Download: 125.6bps; optimistically unchoked: 0
Timestamp: 24.6265s. Il peer: 1.1.7.213 Unchoked: 1.1.8.117. Upload: 145.2bps, Download: 118.4bps; optimistically unchoked: 0
